Quận,Loại,Diện tích (m²),Mức giá (tỷ),Số phòng ngủ,Số toilet
Long Biên,Căn hộ chung cư,65.0,2.9,2,2
Long Biên,Căn hộ chung cư,73.0,3.3,2,2
Cầu Giấy,Căn hộ chung cư,67.0,5.2,2,2
Thanh Xuân,Nhà riêng,44.0,7.3,4,3
Đống Đa,Nhà mặt phố,110.0,48.0,8,8
Hai Bà Trưng,Căn hộ chung cư,75.0,4.05,2,2
Hà Đông,Nhà riêng,30.0,3.05,3,3
Tây Hồ,Căn hộ chung cư,146.0,11.0,3,2
Hà Đông,Căn hộ chung cư,137.0,5.25,3,2
Đông Anh,Căn hộ chung cư,98.0,3.8,3,2
Nam Từ Liêm,Căn hộ chung cư,83.0,4.6,2,2
Đống Đa,Căn hộ chung cư,57.0,6.8,2,2
Tây Hồ,Nhà riêng,36.0,2.25,1,1
Đống Đa,Căn hộ chung cư,112.0,5.82,2,2
Hoàng Mai,Căn hộ chung cư,85.0,4.15,2,2
Tây Hồ,Nhà riêng,40.0,6.7,3,4
Cầu Giấy,Căn hộ chung cư,76.0,5.5,2,2
Hà Đông,Nhà mặt phố,200.0,50.0,10,10
Thanh Xuân,Căn hộ chung cư,167.0,9.3,3,2
Long Biên,Nhà mặt phố,80.0,19.5,4,4
Thanh Xuân,Căn hộ chung cư,71.0,5.05,2,2
Nam Từ Liêm,Căn hộ chung cư,60.0,2.75,2,1
Hoàng Mai,Căn hộ chung cư,60.0,1.95,2,2
Đống Đa,Nhà riêng,52.0,8.65,8,5
Hà Đông,Căn hộ chung cư,72.0,4.0,2,2
Tây Hồ,Nhà mặt phố,250.0,90.0,6,6
Đống Đa,Nhà mặt phố,410.0,200.0,10,10
Hoàng Mai,Căn hộ chung cư,80.0,3.1,2,2
Hà Đông,Nhà riêng,42.0,5.2,4,4
Hoàng Mai,Căn hộ chung cư,47.0,1.78,2,1
Hoàng Mai,Căn hộ chung cư,99.0,3.8,2,2
Hoàng Mai,Căn hộ chung cư,76.0,2.85,3,2
Tây Hồ,Nhà riêng,56.0,10.3,3,2
Tây Hồ,Căn hộ chung cư,48.0,990.0,2,2
Hà Đông,Căn hộ chung cư,112.0,4.4,3,3
Nam Từ Liêm,Căn hộ chung cư,84.0,5.0,3,2
Nam Từ Liêm,Căn hộ chung cư,87.0,3.13,2,2
Hà Đông,Căn hộ chung cư,72.0,4.1,2,2
Nam Từ Liêm,Căn hộ chung cư,105.0,8.9,3,2
Nam Từ Liêm,Nhà riêng,65.0,10.4,4,4
Hà Đông,Căn hộ chung cư,107.0,3.55,3,2
Hà Đông,Nhà riêng,33.0,2.67,3,3
Hoàng Mai,Nhà riêng,58.0,9.5,6,5
Long Biên,Nhà riêng,110.0,31.0,20,15
Cầu Giấy,Nhà riêng,52.0,15.0,5,4
Long Biên,Nhà riêng,34.0,4.5,4,4
Long Biên,Căn hộ chung cư,89.0,4.09,2,2
Hai Bà Trưng,Nhà riêng,45.0,12.5,4,5
Hoàng Mai,Nhà riêng,75.0,17.5,16,18
Hà Đông,Nhà riêng,33.0,6.1,4,4
Hoài Đức,Căn hộ chung cư,95.0,5.0,3,2
Thanh Xuân,Căn hộ chung cư,55.0,900.0,2,2
Cầu Giấy,Căn hộ chung cư,138.0,7.31,3,2
Cầu Giấy,Căn hộ chung cư,110.0,7.92,3,2
Nam Từ Liêm,Căn hộ chung cư,138.0,4.5,3,2
Thanh Xuân,Căn hộ chung cư,72.0,5.05,2,2
Tây Hồ,Nhà riêng,47.0,11.5,4,5
Đống Đa,Nhà riêng,46.0,10.0,5,5
Nam Từ Liêm,Căn hộ chung cư,61.0,3.5,2,2
Nam Từ Liêm,Căn hộ chung cư,54.0,3.75,2,2
Đống Đa,Nhà riêng,35.0,5.0,3,4
Long Biên,Nhà riêng,52.0,12.7,5,6
Nam Từ Liêm,Căn hộ chung cư,78.0,4.0,2,2
Thanh Xuân,Căn hộ chung cư,79.0,2.25,2,1
Thanh Xuân,Căn hộ chung cư,73.0,4.8,2,2
Nam Từ Liêm,Căn hộ chung cư,105.0,4.93,3,2
Nam Từ Liêm,Căn hộ chung cư,78.0,4.39,2,2
Thanh Trì,Căn hộ chung cư,67.0,3.4,2,2
Hai Bà Trưng,Căn hộ chung cư,140.0,7.0,4,2
Bắc Từ Liêm,Căn hộ chung cư,66.0,3.4,2,2
Bắc Từ Liêm,Nhà riêng,32.0,6.19,4,5
Hà Đông,Căn hộ chung cư,96.0,4.06,3,2
Cầu Giấy,Căn hộ chung cư,115.0,5.0,3,2
Nam Từ Liêm,Căn hộ chung cư,100.0,3.9,3,2
Tây Hồ,Nhà riêng,43.0,6.8,5,4
Đống Đa,Nhà riêng,15.0,2.0,3,3
Đông Anh,Căn hộ chung cư,77.0,2.6,3,2
Hoàng Mai,Căn hộ chung cư,77.0,3.3,2,2
Tây Hồ,Nhà riêng,60.0,7.45,4,2
Long Biên,Nhà riêng,90.0,18.5,6,7
Long Biên,Nhà riêng,36.0,5.3,4,3
Hà Đông,Căn hộ chung cư,100.0,3.25,3,2
Thanh Xuân,Căn hộ chung cư,80.0,4.8,2,2
Tây Hồ,Căn hộ chung cư,175.0,13.5,3,2
Nam Từ Liêm,Căn hộ chung cư,128.0,5.76,3,2
Cầu Giấy,Căn hộ chung cư,54.0,4.2,2,1
Ba Đình,Căn hộ chung cư,72.0,9.8,2,2
Nam Từ Liêm,Căn hộ chung cư,28.0,1.43,1,1
Long Biên,Nhà riêng,50.0,6.4,4,2
Đan Phượng,Căn hộ chung cư,80.0,2.3,2,2
Bắc Từ Liêm,Nhà riêng,100.0,21.0,22,22
Thanh Xuân,Căn hộ chung cư,122.0,6.6,3,2
Nam Từ Liêm,Nhà mặt phố,216.0,36.5,70,71
Nam Từ Liêm,Căn hộ chung cư,436.0,45.78,4,5
Tây Hồ,Nhà riêng,48.0,10.5,4,4
Thanh Trì,Căn hộ chung cư,57.0,3.1,2,1
Bắc Từ Liêm,Căn hộ chung cư,110.0,5.3,3,2
Đống Đa,Căn hộ chung cư,118.0,8.1,3,2
Long Biên,Căn hộ chung cư,38.0,2.47,1,1
Thanh Oai,Nhà riêng,32.0,2.45,3,3
Cầu Giấy,Căn hộ chung cư,52.0,3.5,2,1
Hà Đông,Căn hộ chung cư,135.0,5.5,3,2
Gia Lâm,Căn hộ chung cư,63.0,3.2,2,2
Sơn Tây,Nhà mặt phố,240.0,36.8,4,5
Nam Từ Liêm,Căn hộ chung cư,78.0,3.9,2,2
Thanh Trì,Căn hộ chung cư,75.0,3.4,2,2
Hai Bà Trưng,Nhà mặt phố,58.0,28.0,4,4
Hoàng Mai,Căn hộ chung cư,72.0,2.22,2,2
Long Biên,Căn hộ chung cư,105.0,5.2,3,2
Hà Đông,Nhà riêng,30.0,4.45,3,4
Hoàng Mai,Căn hộ chung cư,69.0,3.5,2,2
Nam Từ Liêm,Căn hộ chung cư,71.0,3.0,2,2
Cầu Giấy,Căn hộ chung cư,135.0,8.0,4,3
Long Biên,Căn hộ chung cư,77.0,3.2,2,2
Hà Đông,Căn hộ chung cư,91.0,5.25,3,2
Bắc Từ Liêm,Căn hộ chung cư,84.0,4.0,2,2
Thanh Xuân,Nhà riêng,41.0,8.5,5,5
Bắc Từ Liêm,Căn hộ chung cư,90.0,4.8,3,2
Thanh Xuân,Nhà mặt phố,164.0,55.0,6,5
Nam Từ Liêm,Căn hộ chung cư,94.0,6.2,3,2
Cầu Giấy,Căn hộ chung cư,130.0,7.6,3,2
Hai Bà Trưng,Nhà riêng,45.0,8.9,9,10
Hoàng Mai,Căn hộ chung cư,93.0,4.8,3,2
Hà Đông,Nhà riêng,33.0,2.47,3,3
Ba Đình,Nhà riêng,22.0,3.2,2,2
Ba Đình,Nhà riêng,54.0,10.3,6,4
Tây Hồ,Nhà riêng,73.0,9.1,3,3
Long Biên,Căn hộ chung cư,66.0,4.19,2,2
Thanh Trì,Nhà riêng,45.0,6.0,5,3
Hà Đông,Nhà riêng,33.0,2.65,3,3
Thanh Xuân,Căn hộ chung cư,70.0,5.0,2,2
Hà Đông,Căn hộ chung cư,72.0,2.5,2,2
Hoàng Mai,Căn hộ chung cư,82.0,4.4,2,2
Thanh Xuân,Nhà riêng,120.0,19.8,32,32
Cầu Giấy,Căn hộ chung cư,140.0,7.3,3,2
Hoàng Mai,Căn hộ chung cư,66.0,2.43,2,2
Tây Hồ,Nhà riêng,60.0,15.5,4,4
Cầu Giấy,Căn hộ chung cư,110.0,7.9,3,2
Hoàng Mai,Căn hộ chung cư,74.0,3.7,2,2
Ba Đình,Nhà riêng,93.0,24.8,26,26
Đống Đa,Căn hộ chung cư,120.0,4.75,3,2
Long Biên,Căn hộ chung cư,85.0,3.69,3,2
Long Biên,Nhà riêng,34.0,4.4,4,4
Long Biên,Căn hộ chung cư,184.0,11.9,4,3
Nam Từ Liêm,Căn hộ chung cư,55.0,2.9,2,2
Long Biên,Nhà mặt phố,95.0,14.5,18,20
Đống Đa,Nhà riêng,100.0,21.4,26,26
Nam Từ Liêm,Căn hộ chung cư,108.0,3.7,3,2
Nam Từ Liêm,Nhà riêng,60.0,9.5,9,9
Ba Đình,Nhà riêng,300.0,98.0,55,55
Tây Hồ,Căn hộ chung cư,83.0,6.6,2,2
Thanh Xuân,Căn hộ chung cư,118.0,6.8,3,2
Long Biên,Căn hộ chung cư,120.0,6.6,3,2
Nam Từ Liêm,Căn hộ chung cư,99.0,5.7,3,2
Long Biên,Nhà riêng,85.0,18.7,4,4
Hai Bà Trưng,Nhà riêng,80.0,15.99,9,4
Cầu Giấy,Nhà riêng,48.0,5.8,4,4
Tây Hồ,Nhà riêng,40.0,15.8,11,11
Cầu Giấy,Nhà mặt phố,60.0,26.0,4,4
Hai Bà Trưng,Căn hộ chung cư,87.0,5.0,2,2
Hoàng Mai,Nhà mặt phố,128.0,22.5,5,4
Hai Bà Trưng,Nhà riêng,40.0,7.5,8,4
Đống Đa,Nhà riêng,36.0,6.05,4,4
Thanh Xuân,Nhà riêng,61.0,25.0,7,7
Nam Từ Liêm,Nhà riêng,43.0,7.7,4,4
Hoài Đức,Nhà mặt phố,60.0,7.0,1,1
Ba Đình,Nhà riêng,30.0,4.4,3,4
Hà Đông,Nhà riêng,33.0,2.8,3,4
Gia Lâm,Căn hộ chung cư,70.0,2.8,3,2
Long Biên,Nhà riêng,56.0,6.1,2,3
Bắc Từ Liêm,Nhà riêng,32.0,5.35,3,4
Hoài Đức,Nhà riêng,32.0,2.6,3,3
Hoàng Mai,Nhà riêng,70.0,14.25,10,11
Hà Đông,Căn hộ chung cư,71.0,2.92,2,2
Hà Đông,Nhà mặt phố,52.0,10.6,6,5
Long Biên,Nhà mặt phố,100.0,28.8,2,3
Hà Đông,Nhà riêng,30.0,3.0,2,2
Hoàng Mai,Căn hộ chung cư,192.0,8.8,4,3
Hà Đông,Căn hộ chung cư,124.0,5.4,3,2
Hà Đông,Căn hộ chung cư,72.0,3.95,2,2
Hoài Đức,Căn hộ chung cư,56.0,2.3,2,2
Thanh Xuân,Căn hộ chung cư,76.0,4.19,2,2
Long Biên,Căn hộ chung cư,74.0,3.25,3,2
Nam Từ Liêm,Căn hộ chung cư,87.0,6.0,2,2
Cầu Giấy,Căn hộ chung cư,48.0,2.75,2,1
Hoàng Mai,Căn hộ chung cư,82.0,3.75,2,2
Hoàn Kiếm,Nhà riêng,24.0,2.8,1,1
Gia Lâm,Căn hộ chung cư,66.0,3.1,2,2
Hà Đông,Căn hộ chung cư,90.0,3.87,2,2
Gia Lâm,Căn hộ chung cư,66.0,3.1,2,2
Hoài Đức,Nhà mặt phố,50.0,9.5,1,1
Bắc Từ Liêm,Căn hộ chung cư,86.0,2.5,2,2
Cầu Giấy,Căn hộ chung cư,106.0,7.5,3,2
Nam Từ Liêm,Căn hộ chung cư,86.0,4.0,3,2
Hai Bà Trưng,Căn hộ chung cư,108.0,4.85,3,2
Hai Bà Trưng,Căn hộ chung cư,83.0,4.98,2,2
Ba Đình,Nhà riêng,138.0,52.58,5,5
Tây Hồ,Nhà mặt phố,60.0,30.0,6,7
Bắc Từ Liêm,Nhà riêng,52.0,14.6,10,11
Cầu Giấy,Căn hộ chung cư,155.0,7.5,3,2
Hai Bà Trưng,Nhà mặt phố,105.0,72.0,8,8
Đống Đa,Căn hộ chung cư,77.0,5.1,2,2
Tây Hồ,Nhà mặt phố,115.0,26.0,21,22
Nam Từ Liêm,Căn hộ chung cư,61.0,3.6,2,2
Cầu Giấy,Căn hộ chung cư,138.0,8.5,3,2
Hoàng Mai,Nhà riêng,60.0,12.9,3,4
Gia Lâm,Căn hộ chung cư,81.0,4.2,3,2
Hoàng Mai,Căn hộ chung cư,52.0,3.55,2,1
Nam Từ Liêm,Căn hộ chung cư,135.0,6.7,3,2
Hai Bà Trưng,Căn hộ chung cư,160.0,16.0,4,2
Bắc Từ Liêm,Căn hộ chung cư,140.0,9.1,4,3
Cầu Giấy,Nhà riêng,104.0,30.0,32,33
Hoàng Mai,Nhà riêng,70.0,10.0,5,4
Tây Hồ,Nhà riêng,30.0,45.0,4,4
Đống Đa,Căn hộ chung cư,80.0,8.3,2,2
Thanh Xuân,Căn hộ chung cư,123.0,6.86,3,2
Nam Từ Liêm,Căn hộ chung cư,86.0,4.05,2,2
Đống Đa,Căn hộ chung cư,101.0,9.0,3,2
Đống Đa,Căn hộ chung cư,137.0,12.6,3,3
Cầu Giấy,Căn hộ chung cư,148.0,8.85,4,3
Long Biên,Căn hộ chung cư,67.0,2.8,2,2
Cầu Giấy,Căn hộ chung cư,75.0,4.6,2,2
Hoàng Mai,Nhà riêng,346.0,16.5,5,3
Hoàn Kiếm,Nhà mặt phố,41.0,25.0,2,2
Ba Đình,Căn hộ chung cư,125.0,9.0,3,3
Hoàng Mai,Nhà riêng,43.0,5.55,3,3
Hoàng Mai,Nhà mặt phố,55.0,13.5,4,4
Hoàng Mai,Nhà riêng,36.0,4.6,3,4
Bắc Từ Liêm,Căn hộ chung cư,69.0,3.4,3,2
Tây Hồ,Căn hộ chung cư,90.0,17.0,2,3
Nam Từ Liêm,Căn hộ chung cư,127.0,5.2,3,2
Cầu Giấy,Căn hộ chung cư,117.0,6.0,3,2
Cầu Giấy,Nhà riêng,50.0,14.59,4,5
Hoàng Mai,Nhà riêng,75.0,17.9,16,18
Tây Hồ,Nhà riêng,190.0,50.0,30,30
Thanh Trì,Căn hộ chung cư,68.0,3.0,2,2
Thanh Oai,Nhà riêng,42.0,1.8,2,2
Đống Đa,Nhà riêng,36.0,6.48,4,4
Chương Mỹ,Nhà riêng,42.0,2.2,4,3
Đống Đa,Nhà riêng,45.0,7.5,3,2
Hoài Đức,Căn hộ chung cư,89.0,4.0,3,2
Tây Hồ,Nhà mặt phố,250.0,110.0,28,30
Hoài Đức,Căn hộ chung cư,72.0,3.89,2,2
Hoàng Mai,Nhà riêng,38.0,4.3,3,3
Tây Hồ,Căn hộ chung cư,175.0,14.0,3,3
Tây Hồ,Nhà riêng,141.0,45.0,5,5
Ba Đình,Căn hộ chung cư,135.0,9.86,2,3
Hai Bà Trưng,Căn hộ chung cư,100.0,5.4,3,2
Tây Hồ,Nhà mặt phố,242.0,103.0,30,30
Hà Đông,Nhà riêng,55.0,7.6,4,5
Hoàng Mai,Căn hộ chung cư,50.0,1.2,2,1
Hoàng Mai,Căn hộ chung cư,50.0,1.2,2,1
Hà Đông,Nhà riêng,32.0,3.65,3,4
Hoàng Mai,Nhà riêng,48.0,10.15,5,5
Hai Bà Trưng,Nhà riêng,30.0,5.65,3,4
Ba Đình,Căn hộ chung cư,65.0,2.95,2,2
Ba Đình,Nhà riêng,54.0,15.9,3,3
Ba Đình,Căn hộ chung cư,220.0,52.0,4,3
Hoàng Mai,Nhà mặt phố,82.0,12.8,5,5
Nam Từ Liêm,Căn hộ chung cư,43.0,2.18,1,1
Hai Bà Trưng,Căn hộ chung cư,95.0,5.0,3,2
Long Biên,Nhà riêng,55.0,9.5,4,4
Long Biên,Nhà riêng,51.0,7.9,5,4
Hai Bà Trưng,Căn hộ chung cư,140.0,6.8,4,3
Cầu Giấy,Căn hộ chung cư,72.0,3.65,2,2
Ba Đình,Nhà riêng,32.0,5.9,3,4
Gia Lâm,Căn hộ chung cư,47.0,1.65,1,1
Hai Bà Trưng,Căn hộ chung cư,46.0,2.7,1,1
Nam Từ Liêm,Nhà riêng,56.0,4.76,6,4
Cầu Giấy,Căn hộ chung cư,121.0,8.5,2,2
Đống Đa,Nhà riêng,16.0,2.59,2,3
Hai Bà Trưng,Nhà mặt phố,65.0,25.0,2,2
Hà Đông,Căn hộ chung cư,85.0,3.55,2,2
Hà Đông,Nhà riêng,32.0,4.9,3,4
Long Biên,Nhà mặt phố,52.0,17.39,3,4
Gia Lâm,Căn hộ chung cư,53.0,2.28,1,1
Gia Lâm,Căn hộ chung cư,50.0,2.59,1,1
Nam Từ Liêm,Căn hộ chung cư,98.0,8.0,3,2
Cầu Giấy,Nhà riêng,79.0,15.5,15,15
Gia Lâm,Căn hộ chung cư,41.0,2.15,1,1
Bắc Từ Liêm,Nhà riêng,42.0,3.2,2,2
Gia Lâm,Căn hộ chung cư,48.0,2.25,1,1
Tây Hồ,Căn hộ chung cư,91.0,5.5,1,1
Tây Hồ,Căn hộ chung cư,91.0,6.5,2,2
Nam Từ Liêm,Căn hộ chung cư,74.0,4.0,2,2
Hà Đông,Nhà riêng,32.0,3.4,3,4
Long Biên,Căn hộ chung cư,83.0,3.7,3,2
Tây Hồ,Nhà riêng,91.0,21.9,21,21
Cầu Giấy,Nhà riêng,121.0,29.5,6,6
Cầu Giấy,Nhà riêng,200.0,62.0,48,48
Hà Đông,Nhà riêng,50.0,7.95,4,3
Nam Từ Liêm,Căn hộ chung cư,76.0,3.45,2,2
Long Biên,Căn hộ chung cư,64.0,3.3,2,2
Tây Hồ,Nhà riêng,640.0,275.0,16,16
Bắc Từ Liêm,Căn hộ chung cư,83.0,5.6,3,2
Thanh Trì,Căn hộ chung cư,55.0,2.95,2,1
Tây Hồ,Nhà riêng,160.0,45.0,22,22
Nam Từ Liêm,Căn hộ chung cư,98.0,3.95,3,2
Cầu Giấy,Nhà riêng,68.0,20.0,6,6
Hà Đông,Căn hộ chung cư,75.0,3.5,2,2
Thanh Trì,Căn hộ chung cư,77.0,3.4,2,2
Hà Đông,Nhà riêng,46.0,5.95,4,3
Nam Từ Liêm,Căn hộ chung cư,78.0,4.25,2,2
Hoài Đức,Nhà riêng,33.0,3.85,5,5
Tây Hồ,Căn hộ chung cư,90.0,6.2,1,1
Hai Bà Trưng,Căn hộ chung cư,70.0,3.45,2,2
Hà Đông,Nhà riêng,50.0,8.7,5,5
Thanh Xuân,Nhà riêng,200.0,48.0,31,32
Hai Bà Trưng,Căn hộ chung cư,120.0,8.0,3,2
Long Biên,Căn hộ chung cư,63.0,2.7,2,2
Long Biên,Nhà riêng,86.0,18.3,4,4
Hoài Đức,Nhà riêng,30.0,2.85,3,3
Bắc Từ Liêm,Căn hộ chung cư,114.0,6.25,3,2
Nam Từ Liêm,Căn hộ chung cư,78.0,4.0,2,2
Gia Lâm,Căn hộ chung cư,91.0,5.0,3,2
Tây Hồ,Nhà riêng,110.0,14.0,6,6
Hoài Đức,Nhà riêng,30.0,3.1,3,4
Hai Bà Trưng,Căn hộ chung cư,80.0,5.4,2,2
Nam Từ Liêm,Căn hộ chung cư,45.0,1.0,1,1
Đống Đa,Nhà riêng,75.0,11.8,6,6
Hà Đông,Căn hộ chung cư,92.0,3.5,2,2
Nam Từ Liêm,Căn hộ chung cư,115.0,5.0,3,2
Long Biên,Căn hộ chung cư,80.0,3.6,3,2
Hà Đông,Căn hộ chung cư,76.0,2.2,2,2
Thanh Xuân,Căn hộ chung cư,99.0,5.9,2,2
Hà Đông,Nhà riêng,38.0,2.65,4,3
Long Biên,Căn hộ chung cư,78.0,3.5,2,2
Long Biên,Căn hộ chung cư,80.0,1.89,2,1
Long Biên,Nhà riêng,43.0,4.25,5,4
Long Biên,Nhà riêng,61.0,6.96,3,3
Tây Hồ,Nhà riêng,50.0,11.0,7,7
Nam Từ Liêm,Căn hộ chung cư,72.0,3.88,2,2
Đông Anh,Căn hộ chung cư,77.0,2.85,3,2
Ba Đình,Nhà riêng,69.0,16.99,6,9
Hoài Đức,Căn hộ chung cư,88.0,4.1,2,2
Gia Lâm,Căn hộ chung cư,60.0,2.05,2,1
Long Biên,Căn hộ chung cư,120.0,6.67,3,2
Đống Đa,Nhà mặt phố,50.0,19.0,5,5
Thanh Xuân,Nhà mặt phố,67.0,30.48,2,5
Cầu Giấy,Căn hộ chung cư,144.0,10.08,3,2
Thanh Xuân,Nhà riêng,42.0,6.85,4,5
Ba Đình,Nhà riêng,32.0,5.9,3,4
Đông Anh,Căn hộ chung cư,67.0,2.5,2,2
Cầu Giấy,Nhà riêng,64.0,20.0,4,4
Cầu Giấy,Căn hộ chung cư,119.0,5.95,3,2
Long Biên,Căn hộ chung cư,75.0,3.4,2,2
Ba Đình,Nhà riêng,41.0,6.3,3,5
Nam Từ Liêm,Căn hộ chung cư,70.0,3.1,2,1
Long Biên,Căn hộ chung cư,89.0,4.2,2,2
Tây Hồ,Nhà riêng,50.0,9.0,3,3
Hà Đông,Căn hộ chung cư,96.0,3.7,3,2
Hai Bà Trưng,Nhà riêng,60.0,8.3,3,3
Tây Hồ,Nhà riêng,60.0,9.0,4,3
Tây Hồ,Nhà riêng,45.0,6.8,4,4
Nam Từ Liêm,Căn hộ chung cư,67.0,3.65,2,2
Nam Từ Liêm,Căn hộ chung cư,75.0,3.05,3,2
Tây Hồ,Nhà riêng,70.0,8.8,5,4
Long Biên,Căn hộ chung cư,97.0,4.3,3,2
Hai Bà Trưng,Căn hộ chung cư,98.0,6.0,3,2
Đông Anh,Căn hộ chung cư,82.0,3.0,3,2
Nam Từ Liêm,Căn hộ chung cư,47.0,2.0,1,1
Hà Đông,Căn hộ chung cư,75.0,4.0,2,2
Hà Đông,Căn hộ chung cư,118.0,4.6,3,2
Thanh Xuân,Căn hộ chung cư,135.0,8.88,3,2
Thanh Trì,Nhà mặt phố,123.0,32.0,10,10
Hà Đông,Căn hộ chung cư,107.0,4.0,3,2
Tây Hồ,Nhà riêng,91.0,31.0,12,14
Long Biên,Nhà riêng,50.0,6.8,4,4
Đống Đa,Nhà riêng,40.0,8.6,4,5
Ba Đình,Nhà riêng,32.0,5.73,3,4
Nam Từ Liêm,Căn hộ chung cư,133.0,5.59,3,2
Nam Từ Liêm,Căn hộ chung cư,116.0,4.9,3,2
Nam Từ Liêm,Nhà riêng,80.0,14.8,21,21
Nam Từ Liêm,Căn hộ chung cư,110.0,4.25,3,2
Tây Hồ,Nhà mặt phố,65.0,38.0,5,6
Hà Đông,Căn hộ chung cư,130.0,4.79,3,2
Hà Đông,Căn hộ chung cư,74.0,3.6,2,2
Bắc Từ Liêm,Căn hộ chung cư,67.0,3.45,2,2
Hai Bà Trưng,Căn hộ chung cư,82.0,5.7,2,2
Nam Từ Liêm,Căn hộ chung cư,98.0,3.5,3,2
Nam Từ Liêm,Căn hộ chung cư,75.0,3.0,2,2
Ba Đình,Nhà riêng,74.0,10.5,5,5
Thanh Trì,Căn hộ chung cư,67.0,3.25,2,2
Nam Từ Liêm,Căn hộ chung cư,82.0,3.2,2,2
Tây Hồ,Nhà riêng,50.0,7.5,5,5
Gia Lâm,Căn hộ chung cư,46.0,1.8,1,1
Hoàng Mai,Căn hộ chung cư,65.0,1.82,2,2
Hai Bà Trưng,Căn hộ chung cư,75.0,5.1,2,2
Thanh Trì,Căn hộ chung cư,75.0,3.45,2,2
Thanh Trì,Căn hộ chung cư,67.0,3.25,2,2
Long Biên,Nhà riêng,66.0,7.4,2,1
Hai Bà Trưng,Căn hộ chung cư,138.0,12.0,3,3
Hoàng Mai,Căn hộ chung cư,100.0,5.15,2,2
Hoàng Mai,Căn hộ chung cư,82.0,4.0,2,2
Tây Hồ,Căn hộ chung cư,73.0,6.25,2,2
Hà Đông,Căn hộ chung cư,117.0,4.3,3,2
Ba Đình,Nhà mặt phố,280.0,87.0,4,4
Thanh Xuân,Căn hộ chung cư,70.0,2.7,2,2
Thanh Xuân,Căn hộ chung cư,120.0,6.7,3,2
Hà Đông,Nhà mặt phố,82.0,32.0,4,4
Nam Từ Liêm,Căn hộ chung cư,43.0,2.3,1,1
Tây Hồ,Căn hộ chung cư,160.0,18.0,3,2
Tây Hồ,Nhà riêng,170.0,33.5,27,27
Hà Đông,Nhà riêng,36.0,4.95,4,4
Hai Bà Trưng,Căn hộ chung cư,125.0,8.0,3,2
Nam Từ Liêm,Căn hộ chung cư,31.0,1.65,1,1
Ba Đình,Nhà riêng,48.0,8.48,4,6
Thanh Xuân,Căn hộ chung cư,76.0,4.8,2,2
Nam Từ Liêm,Nhà mặt phố,100.0,37.0,4,10
Cầu Giấy,Nhà mặt phố,70.0,23.5,9,9
Hai Bà Trưng,Căn hộ chung cư,127.0,6.7,3,2
Hai Bà Trưng,Căn hộ chung cư,130.0,8.9,3,2
Cầu Giấy,Nhà riêng,52.0,16.0,6,4
Ba Đình,Căn hộ chung cư,113.0,6.9,2,2
Tây Hồ,Nhà riêng,190.0,44.0,4,3
Hà Đông,Căn hộ chung cư,65.0,1.8,2,2
Thanh Xuân,Căn hộ chung cư,88.0,5.0,3,2
Tây Hồ,Nhà riêng,260.0,28.0,5,5
Tây Hồ,Nhà mặt phố,190.0,46.0,3,4
Hoàn Kiếm,Nhà mặt phố,70.0,25.0,8,8
Thanh Xuân,Căn hộ chung cư,59.0,3.8,2,1
Gia Lâm,Căn hộ chung cư,30.0,1.35,1,1
Nam Từ Liêm,Căn hộ chung cư,450.0,27.5,4,4
Ba Đình,Nhà riêng,48.0,8.48,4,6
Hoàn Kiếm,Nhà mặt phố,80.0,35.0,1,1
Gia Lâm,Căn hộ chung cư,117.0,6.7,3,2
Tây Hồ,Nhà riêng,95.0,11.5,6,4
Cầu Giấy,Căn hộ chung cư,117.0,8.76,3,2
Tây Hồ,Nhà riêng,30.0,5.5,4,4
Nam Từ Liêm,Căn hộ chung cư,133.0,6.0,2,2
Nam Từ Liêm,Căn hộ chung cư,135.0,5.3,3,2
Tây Hồ,Nhà mặt phố,47.0,27.0,6,7
Nam Từ Liêm,Căn hộ chung cư,98.0,4.3,3,2
Gia Lâm,Căn hộ chung cư,60.0,2.0,2,1
Hai Bà Trưng,Nhà riêng,124.0,19.0,4,4
Hoàng Mai,Căn hộ chung cư,68.0,3.33,2,2
Tây Hồ,Nhà mặt phố,242.0,103.0,30,30
Ba Đình,Nhà riêng,70.0,19.99,6,6
Cầu Giấy,Căn hộ chung cư,64.0,2.5,2,2
Cầu Giấy,Căn hộ chung cư,127.0,7.2,3,2
Ba Đình,Nhà riêng,70.0,21.5,2,2
Thanh Xuân,Căn hộ chung cư,122.0,6.9,3,2
Tây Hồ,Nhà mặt phố,140.0,75.0,4,4
Thanh Xuân,Căn hộ chung cư,105.0,4.85,3,2
Thanh Xuân,Căn hộ chung cư,102.0,6.5,3,2
Hà Đông,Căn hộ chung cư,82.0,3.35,3,2
Cầu Giấy,Căn hộ chung cư,120.0,6.5,3,2
Hai Bà Trưng,Căn hộ chung cư,110.0,8.7,3,2
Hai Bà Trưng,Nhà riêng,60.0,14.5,6,4
Cầu Giấy,Nhà riêng,79.0,16.99,20,20
Bắc Từ Liêm,Căn hộ chung cư,139.0,5.6,3,2
Nam Từ Liêm,Căn hộ chung cư,70.0,3.9,2,2
Hai Bà Trưng,Nhà mặt phố,170.0,219.0,9,10
Hà Đông,Căn hộ chung cư,103.0,3.47,3,2
Nam Từ Liêm,Nhà riêng,35.0,3.75,3,4
Nam Từ Liêm,Căn hộ chung cư,74.0,3.95,2,2
