Quận,Loại,Diện tích (m²),Mức giá (tỷ),Số phòng ngủ,Số toilet
Đống Đa,Nhà mặt phố,234.0,155.0,10,10
Cầu Giấy,Căn hộ chung cư,116.0,4.4,3,2
Nam Từ Liêm,Căn hộ chung cư,100.0,6.0,3,3
Quốc Oai,Nhà riêng,55.0,1.56,4,3
Cầu Giấy,Căn hộ chung cư,113.0,8.14,3,2
Thanh Xuân,Căn hộ chung cư,90.0,4.7,3,2
Nam Từ Liêm,Căn hộ chung cư,58.0,3.35,2,2
Hoàng Mai,Căn hộ chung cư,91.0,4.0,3,2
Nam Từ Liêm,Căn hộ chung cư,71.0,4.9,2,2
Thanh Xuân,Căn hộ chung cư,128.0,6.9,4,2
Hoàng Mai,Căn hộ chung cư,77.0,2.75,3,2
Cầu Giấy,Căn hộ chung cư,120.0,5.2,3,2
Nam Từ Liêm,Căn hộ chung cư,32.0,1.6,1,1
Nam Từ Liêm,Căn hộ chung cư,48.0,2.5,1,1
Nam Từ Liêm,Căn hộ chung cư,30.0,2.2,1,1
Nam Từ Liêm,Căn hộ chung cư,26.0,1.7,1,1
Nam Từ Liêm,Căn hộ chung cư,133.0,7.0,4,2
Hà Đông,Căn hộ chung cư,60.0,3.2,1,1
Hoàng Mai,Nhà mặt phố,55.0,17.5,4,4
Bắc Từ Liêm,Nhà riêng,70.0,13.6,6,3
Gia Lâm,Căn hộ chung cư,43.0,1.97,1,1
Nam Từ Liêm,Căn hộ chung cư,112.0,6.5,3,2
Thanh Xuân,Căn hộ chung cư,70.0,4.5,2,2
Cầu Giấy,Căn hộ chung cư,161.0,7.24,4,3
Gia Lâm,Căn hộ chung cư,46.0,1.71,1,1
Thanh Xuân,Căn hộ chung cư,66.0,4.0,2,2
Thanh Xuân,Căn hộ chung cư,97.0,6.5,3,2
Hai Bà Trưng,Căn hộ chung cư,83.0,5.8,3,2
Thanh Xuân,Căn hộ chung cư,77.0,4.5,2,2
Hai Bà Trưng,Căn hộ chung cư,87.0,5.8,3,2
Thanh Xuân,Căn hộ chung cư,84.0,4.2,2,2
Cầu Giấy,Căn hộ chung cư,117.0,8.79,3,2
Tây Hồ,Nhà riêng,50.0,16.0,6,5
Long Biên,Nhà riêng,60.0,10.5,3,3
